"address","name","balance","spendable","excludableBalance","chain"
0xfc1ac2071fc28f8d61b03a5b2f550d19798475c4,,0,0,,mainnet
0xbfa49a4d8ab4b310cd69e9c38da3560ed985aed9,,0,0,,mainnet
0xfb4e9364c3602baed39adb5504a467ac855c1659,,0.05155588154261557,0.05155588154261557,,mainnet
0x83e84cc194e595b43dcedfbffc3e0358366307f1,,292.1802402178348,292.1802402178348,,mainnet
0x825cc9fff8faff1669f8162332a9c2843689edd9,,0,0,,mainnet
0x2ca4c18c5d31bf78ff4de3767886eb71c41391b5,,11.101238375601564,11.101238375601564,,mainnet
0x1c8879ae93aeb20ab39b74074b223acbbba46285,,0,0,,mainnet
0x6338dfaa4d4314f751bcf23aabbf1283d603b5aa,,0,0,,mainnet
0xa46a02e199c515296a1ed3d4c37bbac95f7a51f3,,0,0,,mainnet
0xbc751c6fdd008408e824dc3fde0d538165532c4c,,713.7896830472317,713.7896830472317,,mainnet
0xd952c734c23d1cf1a7f6d13a95c35e8d3de19f49,,6.620102744736622,6.620102744736622,,mainnet
0x62d75b7468b49fb2115c5d64fd3f3635c82d59ff,,4163.986713753562,4163.986713753562,,mainnet
0x738a9108bdfb8d6a81155702d8cf3a05e5d341fc,,0,0,,mainnet
0xd91d26d1adce406167b719fd47e20666ec9e16d4,,2.545721340999287,2.545721340999287,,mainnet
0x2dcd5c2591b6617ca91b6654ea3939213dab7c38,,0,0,,mainnet
0x1416f01dfa72fe8fc5c4d39eb172f7af1672ce54,,37.14123520525705,37.14123520525705,,mainnet
0xf9ef36d19bda0cec0e073c385b1919431e9efe99,,30428.831889365723,30428.831889365723,,mainnet
0x392027fdc620d397ca27f0c1c3dcb592f27a4dc3,,0,0,,mainnet
0xf38b740359d0a7ee22580c91e10083bb1a4988c7,,1046.047918259255,1046.047918259255,,mainnet
0xf4b0f50b3a2cae9395857054a4bbe845c2975bad,,114.100324577017,114.100324577017,,mainnet
0xb35ce862469fb5f430d6cbdd67edb8161df806a6,,88556.98245776305,88556.98245776305,,mainnet
0xb5d49a7431ace5da6d6d7acb9da360d0790f6326,,0,0,,mainnet
0x2fc8625a140df68caab61874fe65d989654efab3,,116.87331121458506,116.87331121458506,,mainnet
0xe1963499f9309f75d11078834600d937986c7e56,,0,0,,mainnet
0x92e216ac6dcd7d67f138443f95fdc83bd7dd398f,,11,11,,mainnet
0xd2951c179f86d735ca56b3c1e8e021f28587d98d,,0,0,,mainnet
0xad7b451b8efc59858273c7d30a5cd542121abf86,,0,0,,mainnet
0x7f0a1d27cce6bb5abbec43223abe78a9c054e963,,0,0,,mainnet
0xfb3e46e86303f7331fa7cc9301111a57190f1aea,,0,0,,mainnet
0xb3562584354ec99fa2c8742e4c6604343b4a8124,,53.45431154096221,53.45431154096221,,mainnet
0x620e4e2f2573c8d10db9b16c7e8ca12742c010f7,,0,0,,mainnet
0xa48410dcd0042e1dd6f63ba4031b23ce4a44a786,,150.70456950340593,150.70456950340593,,mainnet
0x7d84a975c962af1b959651597bf69be321450464,,0,0,,mainnet
0x3ddc75311637b1eba20e5633025b02316b8c0f93,,0,0,,mainnet
0xfb8e156f2ef3def6634072b950f2a2f816014a58,,0,0,,mainnet
0x1111111254fb6c44bac0bed2854e76f90643097d,,0,0,,mainnet
0xdef1c0ded9bec7f1a1670819833240f027b25eff,,0,0,,mainnet
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,,0,0,,mainnet
0x0ff81614c04f6fd075f9521eaac9816a2fe82ced,,0,0,,mainnet
0xa6b089f5f288df0ae182d856c55de18ac2106dd8,,307.7002565180123,307.7002565180123,,mainnet
0x998c1f93bcdb6ff23c10d0dc924728b73be2ff9f,,500,500,,mainnet
0x64da2a522d7686b9e624202de978cb20eb3bde2d,,0.000007226639068784,0.000007226639068784,,mainnet
0x84c50ba3d585d38bab097aa5230f0a88528a29ec,,0,0,,mainnet
0xa52c8d48d95595ff1122f5c2d8fd09f795fcaa54,,0,0,,mainnet
0x17d8ae80746d9c4ecf9f661770c8b374ff2535c7,,0,0,,mainnet
0xb9a43abc416639be70f0f98a48c6ae2e05e19a77,,0,0,,mainnet
0x8c39b7cb82b9d791adcc9387098944b635c17b32,,46.02155783172706,46.02155783172706,,mainnet
0x5a9a32c1c2e0e6d7151c6ab42336eecc651ec732,,0,0,,mainnet
0x9354878efaa0d6d821b7264b22672423e89f0cc1,,0,0,,mainnet
0x57177cb34b164f4d27818c352e78e64d75c435ce,,0,0,,mainnet
0x5e63a00d858a9036b5d5234b8433a4c6fb7e506c,,51.92836130796178,51.92836130796178,,mainnet
